,text
92, february finnish broadband data communication systems provider teleste oyj hel tlt v saw its net profit jump to eur m for the last quarter of from eur for the same period of 
93,finnish aktia group s operating profit rose to eur mn in the first quarter of from eur mn in the first quarter of 
94,finnish bank of land s consolidated net operating profit increased from eur mn in the first quarter of to eur mn in the first quarter of 
95,finnish financial group aktia reports operating profit of eur mn in januaryseptember up from eur mn in the corresponding period in 
96,finnish high technology provider vaahto group reports net sales of eur mn in the accounting period september february an increase of from a year earlier 
97,net sales of finnish food industry company lænnen tehtaat s continuing operations increased by in to eur mn from eur mn in 
98,an individual promotion also generated slightly higherthanexpected revenues 
99,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement 
100,both operating profit and turnover for the threemonth period increased respectively from eur m and eur m as compared to the corresponding period in 
101,circulation revenue has increased by in finland and in sweden in 
102,clothing chain seppælæ s net sales increased by to eur mn 
103,construction volumes meanwhile grow at a rate of percent annually 
104,finnish and swedish construction markets are still experiencing an estimated annual growth in 
105,however biohit estimates its total net sales will continue to grow in and that favourable trends in net sales will lead to a profit in 
106,in fiskars cash flow from operating activities amounted to eur m up from eur m in the previous year 
107,in lithuania operating profit rose to eur from eur in the corresponding period in 
108,in the fourth quarter of net sales increased by to eur mn from eur mn in the fourth quarter of 
109,international sales rose by to eur mn 
110,kalmar espana generated net sales of some mln euro mln in 
111,net sales grew in the period to x ac million us million from x ac million in 
112,net sales increased to eur m in april to june from eur m a year earlier 
113,net sales rose by yearonyear to eur m as the number of chargers delivered went up by to million pieces 
114,net sales totaled eur mn up from eur mn in the corresponding period in 
115,nokia also noted the average selling price of handsets declined during the period though its mobile phone profit margin rose to more than percent from percent in the yearago quarter 
116,operating profit increased by to eur mn from eur mn 
117,operating profit margin increased from to 
118,operating profit rose to eur mn from eur mn in the corresponding period in 
119,operating profit rose to eur mn from eur mn in the fourth quarter of 
120,operating profit was eur mn up from eur mn 
121,ramirent s net sales in the second quarterended june were euro million about us million a percent increase compared with euro million for thesecond quarter last year 
122,revenue grew by percent to x ac million million from x ac million 
123,ruukki announced that it has signed an agreement with aker solutions of norway to supply suction anchors in september from its kalajoki unit in finland 
124,ruukki s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by yearonyear to eur m ceo sakari tamminen said 
125,sanoma magazines net sales are estimated to grow in 
126,the bank forecasts finland s gdp will grow by in and in 
127,the circuit s overall production rate on a weekly basis is now in excess of an average of tonnes per day with volumes in excess of tonnes per day being reached on individual days 
128,the company s consolidated operating profit amounted to eur mn up from eur mn yearonyear 
129,the department store division reported an increase in sales of per cent 
130,the fair value of the company s investment properties grew to eur billion at the end of march from eur million a year ago 
131,the last quarter was the best quarter of in net sales and the operating margin rose to 
132,the major breweries increased their domestic beer sales by per cent last year to million litres from million litres in 
133,the transaction doubles tecnomens workforse and adds a fourth to their net sales 
134, operating profit rose by to eur million 
135, after this purchase cramo will become the second largest rental services provider in the latvian market 
136, the priority for was to strengthen the company s balance sheet and increase cash flow ceo hannu krook said 
137, the purchase of the operations is part of yit s strategy to expand its offering of building system services geographically 
138, october finnish fishing tackle company rapala vmc corp hel rap v said today its net profit rose to eur m for the first nine months of from eur m for the same period a year earlier 
139,a structures bim building information modeling software from tekla a modelbased software provider has been adopted for the construction management and delivery of a university project in abu dhabi 
140,according to finnish metso minerals the value of the company s orders has gone up to eur bn in months 
141,finnish aldata solution has signed a contract of supply its gold system to two french retail chains 
142,finnish bank of land reports its operating profit rose to eur mn in the second quarter of from eur mn in the corresponding period in 
143,finnish financial group aktia s operating profit for increased to eur mn from eur mn in 
144,finnish forest machinery manufacturer ponsse s net sales grew to eur mn in the first quarter of from eur mn in the corresponding period in 
145,finnish kci konecranes has raised its net sales growth estimate for from over to over 
146,finnish okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company norsun have signed a contract under which okmetic will supply norsun mono silicon crystals for use in solar cell manufacturing 
147,finnish pharmaceuticals company orion s net sales rose to eur mn in the first quarter of from eur mn in the first quarter of 
148,finnish ponsse has signed an agreement with babcock africa for the distribution and support of ponsse forest machines harvester heads and information systems in south africa 
149,south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish mreal corporation s graphic papers business unit 
150,according to deputy md pekka silvennoinen the aim is double turnover over the next three years 
151,according to hkscan finland the plan is to increase jærvisuomen portti s net sales to eur mn to eur mn 
152,advertising and circulation revenues grew by and by respectively 
153,after the takeover cramo will become the second largest rental services provider in the latvian market 
154,again the most significant sales increase of was in russia 
155,alma media expects its net sales to increase as forecast previously 
156,also lemminkæinen s profit for accounting period went up to eur mn from eur mn a year ago 
157,at the end of march the group s order book was at eur mn up from the corresponding period in 
158,at the same time profit of the company increased by in h and reached ls 
159,aviation systems maintenance is based in kansas and generated net sales of usd million for 
160,besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment paavel said 
161,both operating profit and net sales for the month period increased respectively from eur m and eur m as compared to the financial year 
162,both operating profit and net sales for the month period increased respectively from eur m and eur m as compared to the financial year 
163,both operating profit and net sales for the month period increased respectively from eur m and eur m as compared to 
164,both operating profit and net sales for the month period increased respectively from eur m and eur m as compared to 
165,both operating profit and net sales for the ninemonth period increased respectively by and as compared to the corresponding period in 
166,both operating profit and net sales for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period in 
167,both operating profit and net sales for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period in 
168,both operating profit and net sales for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period in 
169,both operating profit and net sales for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period in 
170,both operating profit and net sales for the threemonth period increased respectively from eur m and eur m as compared to the corresponding period in 
171,both operating profit and net sales for the threemonth period increased respectively from eur m and eur m as compared to the corresponding quarter in 
172,both operating profit and sales for the threemonth period increased respectively from eur m and eur m as compared to the corresponding period in 
173,both operating profit and turnover for the ninemonth period increased respectively from eur m and eur m as compared to the corresponding period a year ago 
174,both operating profit and turnover for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period in 
175,both operating profit and turnover for the sixmonth period increased respectively from eur m and eur m as compared to the corresponding period a year ago 
176,cargo volume grew by 
177,cargo volume increased by approximately 
178,comparable operating profit totaled eur mn up from eur mn in 
179,digia said its consolidated net sales for januaryjune were eur m up on the same period in eur m 
180,diluted earnings per share eps rose to eur from eur 
181,diluted earnings per share eps rose to eur versus eur 
182,diluted earnings per share eps rose to eur from eur 
183,diluted earnings per share eps rose to eur from eur 
184,diluted eps rose to eur from eur 
185,ebit margin was up from to 
186,editor s note grimaldi generated a bln euro bln turnover in ansa reported on may 
187,eps for the quarter was eur as compared with eur in the third quarter of representing a group net sales for the third quarter were eur m up by as compared with eur m in the third quarter of 
188,eps from continuing operations came in at eur up from 
189,equity ratio was compared to in the third quarter of net sales of the frozen foods business totaled eur up by about from the third quarter of 
190,eur in q may finnish textile and clothing design company marimekko oyj hel mmo v said today its net profit rose to eur in the first quarter of from eur in the corresponding period a year earlier 
191,finlandbased elcoteq se a privately held provider of electronics manufacturing services to communications companies said thursday it signed a longterm manufacturing supply deal with communications equipment company andrew corp 
192,finnish cutlery and hand tools maker fiskars oyj abp hel fisas said today its net profit rose to eur million usd m in the third quarter of from eur million a year earlier 
193,finnish department store chain stockmann oyj abp net profit rose to mln euro mln for the first nine months of from mln euro mln for the same period of 
194,finnish lifting equipment maker konecranes oyj said on july that its net profit rose to mln euro mln for the first half of from mln euro mln for the same period of 
195,finnish messaging solutions developer tecnomen corporation omx helsinki tem v said on thursday december that it has received an expansion order for its convergent charging solution in latin america 
196,finnish metal industry solutions supplier outotec oyj net profit rose to mln euro mln for the first nine months of from mln euro mln for the same period of 
197,finnish metal products company componenta oyj net profit rose to mln euro mln for the first quarter of from mln euro mln for the same period of 
198,finnish office supplies and computer accessories dealer belttongroup plc said its net profit rose to mln euro mln in from mln euro mln in 
199,finnish security and privacy software solutions developer stonesoft oyj said on january that the preliminary sales of its stonegate products grew by pct yearonyear to mln euro mln for the fourth quarter of 
200,finnish silicon wafer technology company okmetic oyj omx helsinki okm v reported on thursday august an operating profit of eur m for the period januaryjune up from eur m in the corresponding period in 
201,finnish software developer done solutions oyj said its net profit increased to mln euro mln in from mln euro mln in 
202,first quarter underlying operating profit rose to mln eur from mln a year earlier 
203,following the acquisition relacom will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services 
204,for the first nine months of the company s net profit rose to eur m from eur m for the corresponding period of 
205,helsinki afx retail and wholesale group kesko reported net sales of mln eur for february an increase of pct yearonyear 
206,however net sales in are seen to have grown to eur m from eur m in 
207,however sales returned to growth in apriljune ceo pekka eloholma said 
208,ragutis which is controlled by the finnish brewery reported a percent rise in beer sales to million litres and held an percent market share 
209,svyturysutenos alus which is controlled by the nordic group baltic beverages holding bbh posted a percent growth in beer sales for januarymay to million litres 
210,in contempus generated revenue of nok approx 
211,in addition kone signed a twoyear maintenance contract for the escalators 
212,in december alone the members of the lithuanian brewers association sold a total of million liters of beer an increase of percent from the sales of million liters in december 
213,in januaryseptember the group s net interest income increased to eur mn from eur mn in januaryseptember 
214,in q of bank of land s net interest income increased from eur mn to eur mn 
215,in sweden operating profit for the period under review totaled eur mn up from the corresponding period in 
216,in the fourth quarter of orion s net profit went up by yearonyear to eur m 
217,in the second quarter of the group s net profit rose to eur million from eur million in apriljune 
218,in the second quarter of the group s net profit rose to eur m from eur m in apriljune 
219,in the third quarter net sales increased by yearonyear to eur million or by at comparable currency rates growth 
220,in the third quarter net sales increased by yearonyear to eur m or by at comparable currency rates growth 
221,incap estimates it will generate a revenue of mln euro mln from its indian operations for 
222,its market share widened to percent from percent a year earlier 
223,its total annual revenue comes up to about mln zloty mln mln euro 
224,kesko agro eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of million euros in an increase by onetenth over the preceding year 
225,kesko s car import and retailing business vvauto saw sales grow by pct 
226,kone s net sales rose by some yearonyear in the first nine months of 
227, adp news feb finnish management software solutions provider ixonos oyj hel xns v said today its net profit rose to eur million usd m for from eur million for 
228, adp news feb finnish it solutions provider affecto oyj hel afe v said today its net profit rose to eur million usd m in from eur million in 
229, adp news feb finnish fishing tackle company rapala vmc corp hel rap v said today its net profit rose to eur million usd m for from eur million for 
230, adp news nov finnish electronic measurement products and solutions maker vaisala oyj omx vaias said today that its net profit rose to eur million usd m for the first nine months of from eur 
231, adp news oct finnish lifting equipment maker konecranes oyj omx kcr v said today that its net profit rose to eur million usd m in the first nine months of from eur million for the s
232,metso expects its net sales to increase by about in at comparable exchange rates 
233,mreal generated a turnover of eur bn in and has employees 
234,neste oil corp has signed longterm procurement contracts with honkajoki oy and findest protein oy both owned by finnish food manufacturers for the supply of animal fat for biodiesel production at neste s bcd porvoo finland refinery 
235,net interest income increased by to eur mn from eur mn in 
236,net interest income was eur mn up from eur mn in 
237,net interest income was eur mn up from eur mn 
238,net sales of the vegetable oil business rose to eur mn from eur mn 
239,nokia multimedia s net sales totaled eur bn up from the corresponding period in 
240,operating income rose to eur mn from eur mn in 
241,operating profit of kauppalehti group rose to eur mn from eur mn and that of marketplaces to eur mn from eur mn in the third quarter of 
242,operating profit rose from eur mn to eur mn 
243,operating profit rose to mln eur from mln 
244,operating profit rose to eur mn from eur mn in the corresponding period in 
245,operating profit rose to eur mn from eur in the corresponding period in 
246,operating profit rose to eur mn from eur mn in the corresponding period in 
247,operating profit rose to eur mn from eur mn in the corresponding period in 
248,operating profit rose to eur mn from eur mn in 
249,operating profit rose to eur mn from eur mn in the corresponding period in 
250,operating profit rose to eur mn from eur mn 
251,operating profit rose to eur mn from eur mn 
252,operating profit rose to eur mn from eur mn in the corresponding period in 
253,operating profit rose to eur m from eur m year earlier 
254,operating profit surged to eur m from eur 
255,operating profit totaled eur mn up slightly from eur mn in the corresponding period in 
256,operating profit totaled eur mn up from eur mn 
257,operating profit was eur mn up from eur mn 
258,operating profit was eur mn up from eur mn 
259,order intake grew by yearonyear and yearonyear respectively to eur million and eur billion for the respective januaryseptember and julyseptember periods 
260,orders received grew by yearonyear to eur m 
261,orion pharma s operating profit increased by from 
262,passenger volumes rose by in the accounting period 
263,passengerrelated revenue rose by to eur mn from eur mn in 
264,press release october ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna finland 
265,pretax profit rose to eur mn from eur mn in the corresponding period in 
266,pretax profit rose to eur mn from eur in the corresponding period in 
267,pretax profit rose to eur mn from eur mn in 
268,pretax profit totaled eur mn up from eur mn 
269,previously the company had guided for ebit and sales growth of pct and pct respectively for this year 
270,previously the company has estimated its operating profit to reach the level of only 
271,profit for the period totaled eur mn up from eur mn in the corresponding period in 
272,profit for the period was eur mn up from eur mn 
273,profit for the period was eur mn up from eur mn in 
274,revenue grew percent to x ac billion us billion 
275,revenue in july to september grew percent to euro million from a year earlier the company said thursday 
276,revenues at the same time grew percent to million euros 
277,ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna finland 
278,sales in latin america increased by to eur mn and a total of mn mobile devices were sold in the area representing an increase of from the corresponding period in 
279,sales of clothing developed best 
280,sanoma magazines finland s net sales grew to eur mn from eur mn 
281,satama s net profit for the third quarter of rose to euro from euro for the same period of 
282,section regional news the demand in finnair s asian traffic measured in passenger kilometers was up in august compare to last year 
283,svyturysutenos alus which is controlled by the nordic group baltic beverages holding bbh posted a percent growth in beer sales for januaryseptember to million liters 
284,that would be an increase from estimated sales of million last year 
285,the agreement expands tekla structures scope of use to bridge design 
286,the aim is to increase sales by at least one fifth in 
287,the chain posted sales of million euros for full a rise of percent yearonyear 
288,the company expects its net sales in to increase from 
289,the company expects its net sales in the first half of to reach the previous year s level 
290,the company is in the process of building a new fleet and has placed orders for pmax tankers of dwt 
291,the company s operating income ebit totalled eur mn up from eur mn yearonyear 
292,the eps outlook was increased by pct for and pct for 
293,the fair value of the investment properties totaled eur mn up from eur mn in 
294,the finnish government announced wednesday that it sold a percent stake in chemicals and fertilizer group kemira oyj for x ac million us million sending the company s share price up percent 
295,the firm generated sales of mln eur in 
296,the german company has also signed a code share agreement with another oneworld member american airlines inc part of usbased amr corp nyse amr 
297,the helsinkibased company which also owns the salomon atomic and suunto brands said net profit rose percent in the three months through dec to x ac million us million from x ac million a year earlier 
298,the increase in capital stock has been registered in the finnish trade register on november 
299,the operating profit for grain trading increased to eur mn from eur mn in 
300,the stock rose for a second day on wednesday bringing its twoday rise to gbx or 
301,the stock rose for a third day on tuesday bringing its threeday rise to gbx or 
302,the transaction is in line with aspo s strategy to expand in the baltic sea region and in the eastern markets 
303,the transactions would increase earnings per share in the first quarter by some eur 
304,there has been some recovery of the base metals prices and increased demand for metals in china however 
305,this new representation extends comptel s global presence to a total of countries serving over customers in over countries worldwide 
306,tietoenator itself uses nokia s intellisync mobile suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers 
307,total operating revenue grew by yearonyear to eur m 
308,vacon s cash flow from operations grew to eur mn from eur mn a year ago 
309,vacon will supply drives to ruselprom in the power range from kw up to mw 
310,we also strengthen our existing partnership with cybercom says teleste cto esko myllyla 
311,via the satlan acquisition teleste plans to further expand its market presence as a video services partner for cable operators broadcasters and iptv service providers 
312,with the acquisition the company will expand its offering to north central and south america it said 
313,with the extension of the new contract for a further eight engines the plant will now produce over mw it said 
314,yit says the acquisition is a part of its strategy for expansion in central and eastern european markets 
315, basware s product sales grew strongly in the financial period by percent 
316, the second quarter of was the firstquarter with growth in net sales since the third quarter of said magnus rosen ramirent ceo 
317, the transaction strengthens our position in design and branded goods said fiskars president and ceo heikki allonen pointing out that the two groups have relatively few overlapping operations 
318, february finnish textile and clothing company marimekko oyj hel mmo v said today its preliminary operating profit grew to eur m in from eur m in 
319,finnish componenta has published its new longterm strategy for the period with the aim of growing together with its customers 
320,finnish larox has signed a contract with the talvivaara project for the delivery of filters to the talvivaara nickel mine in sotkamo in finland 
321,affecto expects its net sales for the whole to increase from the level when they reached eur million 
322,cash flow from operations rose to eur mn from eur mn in 
323,commission income rose by to eur mn from eur mn in 
324,componenta s objective with this agreement is to increase business on its existing production lines 
325,earnings per share for januaryjune were eur an increase of yearonyear eur 
326,earnings per share eps rose to eur from eur 
327,elisa said mobile subscriptions grew percent during mainly because of customers adopting socalled third generation mobile technology 
328,eps for the quarter came in at eur up from eur a year ago and ahead of forecast of eur 
329,eps grew to eur from eur 
330,exports grew percent to million liters 
331,finnish investment group panostaja oyj said its net profit went up to mln euro mln in fiscal ended october from mln euro mln in the same period of fiscal 
332,finnish metal components supplier componenta oyj said its net profit went up to mln euro mln in from mln euro mln in 
333,finnish silicon wafer technology company okmetic oyj omx helsinki okm v reported on thursday october an operating profit of eur m for januaryseptember up from eur m in the corresponding period in 
334,fiskars brands report net sales of eur mn up from eur mn 
335,geosentric oyj s geosolutions business unit gypsii the mobile digital lifestyle application and geomobility social networking platform has signed an agreement with nanjing mynet to make the gypsii mobile social networking platform available to customers of china mobile 
336,helsinki afx outokumpu technology said it has signed a mln eur agreement with mongolia s erdenet mining corporation for the engineering of the first hydrocopper plant to be built at the erdenet mine site 
337,however the proportion of the paid standing orders grew in 
338,in addition to the demand in finland the export of lining stone products also increased 
339,in januaryseptember the group s net sales from continuing operations rose to eur mn from eur mn in the corresponding period in 
340,in julyseptember yit s net sales increased to eur mn compared to eur mn in the corresponding period in 
341,in the reporting period net sales rose by yearonyear to eur m due to the business acquisitions realized during the first half of the effect of which was eur m in the review period 
342,in the reporting period the company s operating profit grew by to eur million 
343,last year s net sales rose to eur million from eur million 
344,last year the company raised its turnover to approximately million litas eur mln from million litas in 
345,adp news nov finnish ac drives manufacturer vacon oyj omx vac v said today that it had set up new representative offices in romania and ukraine to serve the growing markets in eastern and southeastern europe 
346,marimekko group s fullyear net sales are estimated to increase by about 
347,net sales surged by to eur million 
348,net sales went up by yearonyear to eur million affected by the business acquisitions realized during the previous financial period the effect of which was eur million on the review period 
349,nevertheless its market share rose to percent from percent a year earlier 
350,nokia the world s largest mobile phone manufacturer and china postel china s largest mobile phone distributor have a longstanding partnership that continues to grow stronger over time 
351,octoberdecember sales were mln eur or a pct increase year on year 
352,olvi which controls a percent stake in ragutis through a le coq said in its annual report published earlier this year that the lithuanian brewery s sales reached million euros last year a rise of percent from million euros in 
353,olvi expects sales and market share to increase in the first quarter of 
354,olvi s target is to strengthen its market share in soft drinks mineral waters ciders long drinks and energy drinks 
355,operating profit increased to eur mn from eur mn in the corresponding period in 
356,operating profit of the asian plants grew markedly 
357,operating profit totaled eur mn up from eur mn in 
358,operating profit totalled eur mn up from eur mn yearonyear 
359,production capacity will increase from to tonnes per year and the raw material will continue to be recycled paper and board 
360,profit for the period increased from eur mn to eur mn 
361,profit per share was eur up from eur 
362,return on capital employed rose by percentage points to 
363,revenue from july to september grew percent to euro billion the finnish company said thursday 
364,revenue grew percent to euro million us million from euro million 
365,ruukki s order book at the end of was up yearonyear and up quarteronquarter 
